CompanyName,Symbol,SECURITY_ID
20 Microns Limited,20MICRONS,16921
21St Century Mgmt Service,21STCENMGM,4
360 One Wam Limited,360ONE,13061
3I Infotech Limited,3IINFOLTD,6232
3M India Limited,3MINDIA,474
3P Land Holdings Limited,3PLAND,2595
5Paisa Capital Limited,5PAISA,445
63 Moons Technologies Limited,63MOONS,11868
A2Z Infra Engineering Limited,A2ZINFRA,20906
Aadhar Housing Finance L,AADHARHFC,23729
Aakash Exploration Ser L,AAKASH,235
Aaron Industries Limited,AARON,1030
Aartech Solonics Limited,AARTECH,17145
Aarti Drugs Ltd.,AARTIDRUGS,4481
Aarti Industries Limited,AARTIIND,7
Aarti Pharmalabs Limited,AARTIPHARM,13868
Aarti Surfactants Limited,AARTISURF,19233
Aarvi Encon Limited,AARVI,19073
Aavas Financiers Limited,AAVAS,5385
Abb India Limited,ABB,13
Abbott India Limited,ABBOTINDIA,17903
Aditya Birla Capital Ltd.,ABCAPITAL,21614
A B Cotspin India Limited,ABCOTS,759130
Allied Blend N Distils L,ABDL,24308
Aditya Birla Fashion & Rt,ABFRL,30108
A B Infrabuild Limited,ABINFRA,27020
Aditya Birla Lifes Bran L,ABLBL,756843
Aditya Birla Real Est Limited,ABREL,625
Adit Birl Sun Lif Amc Limited,ABSLAMC,6018
Acc Limited,ACC,22
Accelya Soln India Limited,ACCELYA,7053
Accuracy Shipping Limited,ACCURACY,1465
Action Const Equip Limited,ACE,13587
Ace Integrated Solu. Ltd.,ACEINTEG,11779
Archean Chemical Ind Limited,ACI,12024
Acme Solar Holdings Limited,ACMESOLAR,27061
Acutaas Chemicals Limited,ACUTAAS,5578
Adani Energy Solution Limited,ADANIENSOL,10217
Adani Enterprises Limited,ADANIENT,25
Adani Green Energy Limited,ADANIGREEN,3563
Adani Port & Sez Limited,ADANIPORTS,15083
Adani Power Limited,ADANIPOWER,17388
Adf Foods Limited,ADFFOODS,19761
Archidply Decor Limited,ADL,245
Ador Welding Limited,ADOR,34
Adroit Infotech Limited,ADROITINFO,4953
Allied Digital Serv. Limited,ADSL,14813
Advance Agrolife Limited,ADVANCE,759402
Advani Hot.& Res.(I) Limited,ADVANIHOTR,14745
Advent Hotels Internati L,ADVENTHTL,759769
Advanced Enzyme Tech Limited,ADVENZYMES,18039
Aegis Logistics Limited,AEGISLOG,40
Aegis Vopak Terminals Limited,AEGISVOPAK,757336
Aeroflex Enterprises Limited,AEROENTER,12015
Aeroflex Industries Limited,AEROFLEX,18268
Aeroflex Neu Limited,AERONEU,13689
Aether Industries Limited,AETHER,9810
Afcons Infrastructure Limited,AFCONS,25977
Affle 3I Limited,AFFLE,11343
Afford Robo & Auto Limited,AFFORDABLE,25855
Akme Fintrade (India) Limited,AFIL,24159
Abans Financial Srvcs Limited,AFSL,13288
Agarwal Inds Corp Ltd.,AGARIND,3389
Dr Agarwals Health Care L,AGARWALEYE,29452
Agi Greenpac Limited,AGI,1412
Agi Infra Limited,AGIIL,24445
Agri-Tech (India) Limited,AGRITECH,11072
Agro Phos India Limited,AGROPHOS,9046
Ahlada Engineers Limited,AHLADA,2004
Asian Hotels (East) Limited,AHLEAST,19438
Ahluwalia Cont Ind Limited,AHLUCONT,17833
Aia Engineering Limited,AIAENG,13086
Authum Invest & Infra Limited,AIIL,23553
Airan Limited,AIRAN,9897
Airo Lam Limited,AIROLAM,6068
Ajanta Pharma Limited,AJANTPHARM,8124
Ajax Engineering Limited,AJAXENGG,29624
Ajmera Realty & Inf I Limited,AJMERA,17307
Ajooni Biotech Limited,AJOONI,3403
Akash Infra-Projects Limited,AKASH,13510
Akg Exim Limited,AKG,2176
Aki India Limited,AKI,14890
Aksharchem India Limited,AKSHARCHEM,20178
Aksh Optifibre Limited,AKSHOPTFBR,8591
Akums Drugs & Pharma L,AKUMS,24715
Akzo Nobel India Limited,AKZOINDIA,1467
Alankit Limited,ALANKIT,9921
Albert David Limited,ALBERTDAVD,17256
Alembic Limited,ALEMBICLTD,79
Alicon Castalloy Limited,ALICON,13656
Alivus Life Sciences Limited,ALIVUS,5265
Alkali Metals Limited,ALKALI,16959
Alkem Laboratories Ltd.,ALKEM,11703
Alkyl Amines Chem. Limited,ALKYLAMINE,4487
Allcargo Logistics Limited,ALLCARGO,13501
Alldigi Tech Limited,ALLDIGI,11798
All Time Plastics Limited,ALLTIME,758448
Almondz Global Sec Limited,ALMONDZ,16719
Alok Industries Limited,ALOKINDS,17675
Alpa Laboratories Limited,ALPA,14848
Alphageo (India) Limited,ALPHAGEO,14597
Alps Industries Limited,ALPSINDUS,4060
Amanta Healthcare Limited,AMANTA,758909
Amber Enterprises (I) Limited,AMBER,1185
Ambica Agar & Aromaindltd,AMBICAAGAR,11496
Ambika Cotton Mill Ltd.,AMBIKCO,15234
Ambuja Cements Limited,AMBUJACEM,1270
Amd Industries Limited,AMDIND,14398
Amj Land Holdings Limited,AMJLAND,2598
Amines & Plasticizers Limited,AMNPLST,19867
Amrutajan Health Limited,AMRUTANJAN,17547
Anand Rathi Wealth Limited,ANANDRATHI,7145
Anant Raj Limited,ANANTRAJ,13620
Andhra Paper Limited,ANDHRAPAP,166
Andhra Sugars Limited,ANDHRSUGAR,136
Angel One Limited,ANGELONE,324
Anik Industries Limited,ANIKINDS,16657
Anmol India Limited,ANMOL,3727
Antelopus Selan Enrgy Limited,ANTELOPUS,13598
Antarctica Limited,ANTGRAPHIC,5194
Anthem Biosciences Limited,ANTHEM,757885
Anuh Pharma Limited,ANUHPHR,28314
The Anup Engineering Limited,ANUP,9014
Anupam Rasayan India Limited,ANURAS,2829
Apar Industries Ltd.,APARINDS,11491
Anjani Portland Cem Limited,APCL,20453
Apcotex Industries Limite,APCOTEXIND,154
Apex Frozen Foods Limited,APEX,21623
Apl Apollo Tubes Limited,APLAPOLLO,25780
Alembic Pharma Limited,APLLTD,25328
Apollo Micro Systems Limited,APOLLO,1134
Apollo Hospitals Enter. L,APOLLOHOSP,157
Apollo Pipes Limited,APOLLOPIPE,14361
Apollo Tyres Limited,APOLLOTYRE,163
Apollo Sindoori Hotel Limited,APOLSINHOT,6302
Aptech Limited,APTECHT,10755
Aptus Value Hsg Fin I Limited,APTUS,5435
Archidply Ind. Limited,ARCHIDPLY,16795
Archies Limited,ARCHIES,5688
Amara Raja Energy Mob Limited,ARE&M,100
Rajdarshan Industries Limited,ARENTERP,181
Aries Agro Ltd.,ARIES,15204
Arihant Capital Mkts Limited,ARIHANTCAP,3813
Arihant Superstruct Limited,ARIHANTSUP,20159
Arisinfra Solutions Limited,ARISINFRA,757614
Arkade Developers Limited,ARKADE,25398
Arman Fin Serv Limited,ARMANFIN,17263
Aro Granite Ind. Ltd.,AROGRANITE,14557
Arrow Greentech Limited,ARROWGREEN,9260
Anand Rathi Sh N Stk Br L,ARSSBL,759956
Artemis Med Service Limited,ARTEMISMED,16913
Art Nirman Limited,ARTNIRMAN,6156
Arvee Laboratories I Limited,ARVEE,2814
Arvind Limited,ARVIND,193
Arvind Fashions Limited,ARVINDFASN,9111
Arvind Smartspaces Limited,ARVSMART,10457
Asahi India Glass Limited,ASAHIINDIA,5378
Asahi Songwon Color Limited,ASAHISONG,25088
Automotive Stampings & As,ASAL,10634
Asso Alcohols & Brew Limited,ASALCBR,17598
Ashapura Minechem Limited,ASHAPURMIN,203
Ashiana Housing Limited,ASHIANA,24403
Ashima Limited,ASHIMASYN,206
Ashoka Buildcon Limited,ASHOKA,20182
Ashoka Metcast Limited,ASHOKAMET,16943
Ashok Leyland Limited,ASHOKLEY,212
Asian Energy Services Limited,ASIANENE,7030
Asian Hotels (North) Limited,ASIANHOTNR,18422
Asian Paints Limited,ASIANPAINT,236
Asian Granito Ind. Ltd.,ASIANTILES,14889
Ask Automotive Limited,ASKAUTOLTD,20152
Aspinwall & Co Limited,ASPINWALL,17270
Astec Lifesciences Limited,ASTEC,17728
Aster Dm Healthcare Ltd.,ASTERDM,1508
Astral Limited,ASTRAL,14418
Astra Microwave Limited,ASTRAMICRO,11618
Astrazeneca Pharma Ind Lt,ASTRAZEN,5610
Astron Paper Bord Mil Limited,ASTRON,874
Atal Realtech Limited,ATALREAL,15649
Atam Valves Limited,ATAM,15404
Adani Total Gas Limited,ATGL,6066
Ather Energy Limited,ATHERENERG,757645
Allcargo Terminals Limited,ATL,17778
Atlanta Electricals Limited,ATLANTAELE,759007
Atlas Cycle (Haryana) Limited,ATLASCYCLE,4568
Atul Limited,ATUL,263
Atul Auto Limited,ATULAUTO,30023
Au Small Finance Bank Limited,AUBANK,21238
Auri Grow India Limited,AURIGROW,1607
Aurionpro Soln Limited,AURIONPRO,12022
Aurobindo Pharma Limited,AUROPHARMA,275
Aurum Proptech Limited,AURUM,10310
Ausom Enterprise Limited,AUSOMENT,4037
Automotive Axles Limited,AUTOAXLES,278
Autoline Industries Limited,AUTOIND,14106
Avadh Sug & Energy Limited,AVADHSUGAR,21406
Avalon Technologies Limited,AVALON,15058
Avantel Limited,AVANTEL,24610
Avanti Feeds Limited,AVANTIFEED,7936
Avg Logistics Limited,AVG,15589
Aditya Vision Limited,AVL,25984
Avonmore Cap&Mgt Serv Limited,AVONMORE,13557
Avro India Limited,AVROIND,8827
Avt Natural Products Limited,AVTNPL,14008
Awfis Space Solutions Limited,AWFIS,23864
Antony Waste Hdg Cell Limited,AWHCL,1797
Awl Agri Business Limited,AWL,8110
Axis Bank Limited,AXISBANK,5900
Axita Cotton Limited,AXITA,9902
Aym Syntex Limited,AYMSYNTEX,10285
Azad Engineering Limited,AZAD,20905
B.A.G Films & Media Limited,BAGFILMS,11226
Baid Finserv Limited,BAIDFIN,13794
Bajaj Auto Limited,BAJAJ-AUTO,16669
Bajaj Consumer Care Limited,BAJAJCON,19531
Bajaj Elect.Ltd,BAJAJELEC,15034
Bajaj Finserv Ltd.,BAJAJFINSV,16675
Bajaj Healthcare Limited,BAJAJHCARE,6863
Bajaj Housing Finance Limited,BAJAJHFL,25270
Bajaj Hindusthan Sugar Lt,BAJAJHIND,308
Bajaj Holdings & Invs Limited,BAJAJHLDNG,305
Indef Manufacturing Limited,BAJAJINDEF,29678
Bajel Projects Limited,BAJEL,20531
Bajaj Finance Limited,BAJFINANCE,317
Shree Tirupati Balajee L,BALAJEE,25203
Balaji Telefilms Limited.,BALAJITELE,9158
Balaji Amines Limited,BALAMINES,14501
Balaxi Pharma Limited,BALAXI,11309
Balkrishna Paper Mills L,BALKRISHNA,10181
Balkrishna Ind. Limited,BALKRISIND,335
Balmer Lawrie & Co Limited,BALMLAWRIE,338
Bal Pharma Ltd.,BALPHARMA,13441
Balrampur Chini Mills Limited,BALRAMCHIN,341
Balu Forge Industries Limited,BALUFORGE,23607
Banaras Beads Limited,BANARBEADS,347
Bannari Amman Sugars Limited,BANARISUG,350
Banco Products (I) Limited,BANCOINDIA,13880
Bandhan Bank Limited,BANDHANBNK,2263
Bang Overseas Ltd.,BANG,15303
Banka Bioloo Limited,BANKA,822
Bank of Baroda,BANKBARODA,4668
Bank of India,BANKINDIA,4745
Bansal Wire Industries L,BANSALWIRE,24386
Banswara Syntex Limited,BANSWRAS,14511
Basf India Limited,BASF,368
Bannari Am Spin Mill Ltd.,BASML,12034
Bata India Limited,BATAINDIA,371
Bayer Cropscience Limited,BAYERCROP,17927
Bharat Bijlee Limited,BBL,13761
Black Box Limited,BBOX,3435
Bombay Burmah Trading Cor,BBTC,380
B&B Triplewall Cont Limited,BBTCL,12153
Brightcom Group Limited,BCG,8833
Bcl Industries Limited,BCLIND,2513
Bharat Dynamics Limited,BDL,2144
Beardsell Limited,BEARDSELL,17933
Mrs Bectors Food Spe Limited,BECTORFOOD,1628
Bedmutha Indust Limited,BEDMUTHA,20196
Bharat Electronics Limited,BEL,383
Bella Casa Fash & Ret L,BELLACASA,757938
Belrise Industries Limited,BELRISE,757102
Bhansali Eng. Polymers Lt,BEPL,419
Berger Paints (I) Limited,BERGEPAINT,404
Best Agrolife Limited,BESTAGRO,2306
Beta Drugs Limited,BETA,759842
Bf Investment Limited,BFINVEST,21113
Bhagiradha Chem & Inds L,BHAGCHEM,6164
Bhageria Industries Limited,BHAGERIA,13400
Bhandari Hosiery Exp Limited,BHANDARI,19556
Bharat Forge Limited,BHARATFORG,422
Bharat Rasayan Limited,BHARATRAS,3834
Bharat Seats Limited,BHARATSE,30244
Bharat Wire Ropes Ltd.,BHARATWIRE,16123
Bharti Airtel Limited,BHARTIARTL,10604
Bharti Hexacom Limited,BHARTIHEXA,23489
Bhel,BHEL,438
Bigbloc Construction Limited,BIGBLOC,18431
Bikaji Foods Intern Limited,BIKAJI,11966
Bhartiya International,BIL,7848
Biocon Limited.,BIOCON,11373
Biofil Chem & Pharma Limited,BIOFILCHEM,4136
Birla Cable Limited,BIRLACABLE,477
Birla Corporation Limited,BIRLACORPN,480
Aditya Birla Money Limited,BIRLAMONEY,15239
Birlanu Limited,BIRLANU,1455
Blackbuck Limited,BLACKBUCK,27144
Beml Land Assets Limited,BLAL,15067
Blb Limited,BLBLIMITED,8132
Bliss Gvs Pharma Limited,BLISSGVS,19265
B.L.Kashyap & Son Limited,BLKASHYAP,13290
Bls Intl Servs Limited,BLS,17279
Bls E-Services Limited,BLSE,22566
Blue Dart Express Limited,BLUEDART,495
Blue Jet Healthcare Limited,BLUEJET,19686
Blue Star Limited,BLUESTARCO,8311
Bluestone Jewel Lfstl Limited,BLUESTONE,759291
Bluspring Enterprises Limited,BLUSPRING,757520
Bmw Ventures Limited,BMWVENTLTD,759256
Bodal Chemicals Limited,BODALCHEM,25017
Bohra Industries Limited,BOHRAIND,11640
Bombay Dyeing & Mfg. Co L,BOMDYEING,513
Borana Weaves Limited,BORANA,757919
Borosil Limited,BOROLTD,19401
Borosil Renewables Limited,BORORENEW,3149
Borosil Scientific Limited,BOROSCI,24014
Bosch Limited,BOSCHLTD,2181
Bharat Petroleum Corp Lt,BPCL,526
Bpl Limited,BPL,530
Brigade Enter. Limited,BRIGADE,15184
Brigade Hotel Venture Limited,BRIGHOTEL,757794
Britannia Industries Limited,BRITANNIA,547
Bharat Road Network Limited,BRNL,21683
Brooks Lab Limited,BROOKS,25136
Bse Limited,BSE,19585
Bombay Super Hybrid Seeds,BSHSL,809
Bsl Limited,BSL,559
Birlasoft Limited,BSOFT,6994
Bodhi Tree Multimedia Limited,BTML,14150
Btrfly Gandhi Appl Limited,BUTTERFLY,2716
The Byke Hospitality Limited,BYKE,7919
California Software Co Lt,CALSOFT,8341
Camlin Fine Sciences Limited,CAMLINFINE,6216
Campus Activewear Limited,CAMPUS,9362
Computer Age Mngt Ser Limited,CAMS,342
Canara Bank,CANBK,10794
Can Fin Homes Limited,CANFINHOME,583
Canara Hsbc Life Ins Co L,CANHLIFE,759477
Cantabil Retail Limited,CANTABIL,20160
Capacite Infraproject Limited,CAPACITE,21749
Capillary Techno India L,CAPILLARY,759867
Capital Small Fin Bank L,CAPITALSFB,22675
Caplin Point Lab Ltd.,CAPLIPOINT,3906
Capital Trust Limited,CAPTRUST,19447
Carborundum Universal Limited,CARBORUNIV,595
Care Ratings Limited,CARERATING,29113
Carraro India Limited,CARRARO,28879
Cartrade Tech Limited,CARTRADE,5407
Carysil Limited,CARYSIL,1879
Castrol India Limited,CASTROLIND,1250
Country Club Hosp Hol Limited,CCHHL,6385
Ccl Products (I) Limited,CCL,11452
Central Depo Ser (I) Limited,CDSL,21174
Ceat Limited,CEATLTD,15254
Ceigall India Limited,CEIGALL,24742
Celebrity Fashions Limited,CELEBRITY,13162
Cello World Limited,CELLO,19795
Cemindia Projects Limited,CEMPRO,5622
Century Enka Limited,CENTENKA,619
Central Bank of India,CENTRALBK,14894
Centrum Capital Limited,CENTRUM,2454
Centum Electronics Limited,CENTUM,14982
Century Plyboards (I) Limited,CENTURYPLY,13305
Cera Sanitaryware Limited,CERA,15039
Cesc Limited,CESC,628
Concord Enviro Systems L,CEWATER,28764
Capri Global Capital Limited,CGCL,20329
Cg Power & Ind Sol Limited,CGPOWER,760
Chalet Hotels Limited,CHALET,8546
Chambal Fertilizers Limited,CHAMBLFERT,637
Chembond Materialtech Limited,CHEMBOND,14618
Chembond Chemical Limited,CHEMBONDCH,757989
Chemcon Special Chem Limited,CHEMCON,270
Chemfab Alkalis Limited,CHEMFAB,2799
Chemplast Sanmar Limited,CHEMPLASTS,5449
Chennai Petroleum Corp Lt,CHENNPETRO,2049
Cheviot Company Limited,CHEVIOT,9879
Choice International Limited,CHOICEIN,8866
Cholamandalam In & Fin Co,CHOLAFIN,685
Cholamandalam Fin Hol Limited,CHOLAHLDNG,21740
Cie Automotive India Limited,CIEINDIA,14937
Capital India Finance Limited,CIFL,756015
Cigniti Technologies Limited,CIGNITITEC,5142
Cineline India Limited,CINELINE,27161
Cinevista Limited,CINEVISTA,8024
Cipla Limited,CIPLA,694
Clean Science & Tech Limited,CLEAN,5049
Chaman Lal Setia Exp Limited,CLSEL,3482
Cms Info Systems Limited,CMSINFO,7603
Coal India Limited,COALINDIA,20374
Coastal Corporation Limited,COASTCORP,6006
Cochin Shipyard Limited,COCHINSHIP,21508
Coforge Limited,COFORGE,11543
Cohance Lifesciences Limited,COHANCE,17945
Colgate Palmolive Ltd.,COLPAL,15141
Compucom Software Limited,COMPUSOFT,31138
Container Corp of Ind Limited,CONCOR,4749
Concord Biotech Limited,CONCORDBIO,18060
Confidence Petro Ind Ltd.,CONFIPET,10238
Conso. Fin. & Hold. Ltd.,CONSOFINVT,11731
Control Print Limited,CONTROLPR,17477
Coral India Fin & Hous Lt,CORALFINAC,4007
Cords Cable Indus Ltd.,CORDSCABLE,15271
Coromandel Interntl. Limited,COROMANDEL,739
Cosmo First Limited,COSMOFIRST,742
Country Condo S Limited,COUNCODOS,16986
Cp Capital Limited,CPCAP,20086
Career Point Edutech Limited,CPEDU,758941
Aditya Infotech Limited,CPPLUS,758858
Craftsman Automation Limited,CRAFTSMAN,2854
Canara Robeco Amc Limited,CRAMC,759311
Creative Newtech Limited,CREATIVE,11155
Creative Eye Limited,CREATIVEYE,9384
Creditaccess Grameen Limited,CREDITACC,4421
Crest Ventures Limited,CREST,13900
Crisil Limited,CRISIL,757
Crizac Limited,CRIZAC,757850
Crompt Grea Con Elec Limited,CROMPTON,17094
Crown Lifters Limited,CROWN,8083
Csb Bank Limited,CSBBANK,14966
Csl Finance Limited,CSLFINANCE,10350
Cambridge Tech Enter Limited,CTE,14218
City Union Bank Limited,CUB,5701
Cubex Tubings Limited,CUBEXTUB,4064
Cummins India Limited,CUMMINSIND,1901
Cupid Limited,CUPID,18520
Cyient Limited,CYIENT,5748
Cyient Dlm Limited,CYIENTDLM,17187
Dabur India Limited,DABUR,772
Dalmia Bharat Limited,DALBHARAT,8075
Dalmia Bharat Sug In Limited,DALMIASUG,781
Dam Capital Advisors Limited,DAMCAPITAL,28662
Damodar Industries Limited,DAMODARIND,17541
Dangee Dums Limited,DANGEE,1110
Datamatics Global Ser Limited,DATAMATICS,11423
Data Patterns India Limited,DATAPATTNS,7358
Davangere Sugar Company L,DAVANGERE,21794
D.B.Corp Limited,DBCORP,17881
Deepak Builders & Eng I L,DBEIL,25892
Dilip Buildcon Limited,DBL,18086
Dhampur Bio Organics Limited,DBOL,10893
Valor Estate Limited,DBREALTY,18124
Db (Int) Stock Brokers,DBSTOCKBRO,31107
Dishman Carbo Amcis Limited,DCAL,21704
Dcb Bank Limited,DCBBANK,13725
Dc Infotech & Comun Limited,DCI,11566
Dcm Limited,DCM,805
Dcm Financial Services Lt,DCMFINSERV,4775
Dcm Nouvelle Limited,DCMNVL,11039
Dcm Shriram Limited,DCMSHRIRAM,811
Dcm Shriram Ind Limited,DCMSRIND,7325
Dcw Limited,DCW,817
Dcx Systems Limited,DCXINDIA,11895
Ddev Plastiks Ind Limited,DDEVPLSTIK,29098
Deccan Cements Limited,DECCANCE,14838
Dee Development Eng Limited,DEEDEV,24154
Deepak Fertilizers & Petr,DEEPAKFERT,827
Deepak Nitrite Limited,DEEPAKNTR,19943
Deep Industries Limited,DEEPINDS,3292
Delhivery Limited,DELHIVERY,9599
Delphi World Money Limited,DELPHIFX,24391
Delta Corp Limited,DELTACORP,15044
Delta Manufacturing Limited,DELTAMAGNT,1214
Den Networks Limited,DEN,17722
De Nora India Limited,DENORA,4279
Denta Water N Infra Sol L,DENTA,29256
Dev Info Technology Limited,DEVIT,8146
Dev Accelerator Limited,DEVX,759079
Devyani International Limited,DEVYANI,5373
Digicontent Limited,DGCONTENT,10346
Dhampur Sugar Mills Ltd.,DHAMPURSUG,857
Dhanlaxmi Bank Limited,DHANBANK,11359
Dhanuka Agritech Limited,DHANUKA,24409
Dharmaj Crop Guard Limited,DHARMAJ,13001
Dhruv Consultancy Ser Limited,DHRUV,6858
Dhunseri Investments Limited,DHUNINV,22233
Diamond Power Infra Limited,DIACABS,18543
Diamines & Chemicals Limited,DIAMINESQ,18644
Prataap Snacks Limited,DIAMONDYD,21840
Dic India Limited,DICIND,703
Diffusion Engineers Limited,DIFFNKG,25672
Digidrive Distributors L,DIGIDRIVE,21247
Digitide Solutions Limited,DIGITIDE,757515
Debock Industries Limited,DIL,8657
Dish Tv India Ltd.,DISHTV,14537
Divgi Torqtransfer Syst L,DIVGIITTS,14479
Divi S Laboratories Limited,DIVISLAB,10940
Dixon Techno (India) Limited,DIXON,21690
Dj Mediaprint & Log Limited,DJML,12749
Dlf Limited,DLF,14732
D-Link India Limited,DLINKINDIA,17851
Avenue Supermarts Limited,DMART,19913
Dmcc Speciality Chemicals,DMCC,6973
Diligent Media Corp Ltd.,DNAMEDIA,641
Dodla Dairy Limited,DODLA,4822
Dolat Algotech Limited,DOLATALGO,12124
Dollar Industries Limited,DOLLAR,20560
Dolphin Off Ent (Ind) L,DOLPHIN,18139
Doms Industries Limited,DOMS,20551
Donear Ind. Limited,DONEAR,13839
D. P. Abhushan Limited,DPABHUSHAN,936
Dpsc Limited,DPSCLTD,15419
D P Wires Limited,DPWIRES,16900
Drc Systems India Limited,DRCSYSTEMS,2645
Dreamfolks Services Limited,DREAMFOLKS,10859
Dredging Corp of India,DREDGECORP,11271
Dr. Reddy S Laboratories,DRREDDY,881
Dynacons Sys & Soln Limited,DSSL,25690
Dhunseri Tea & Ind. Ltd.,DTIL,6227
Ducon Infratechnologies L,DUCON,28952
Dhunseri Ventures Limited,DVL,15214
Dwarikesh Sugar Ind Limited,DWARKESH,11667
Dynamic Cables Limited,DYCL,10417
Dynamatic Technologies,DYNAMATECH,4525
Dynemic Products Limited,DYNPRO,21314
E2E Networks Limited,E2E,8937
Easy Trip Planners Limited,EASEMYTRIP,2792
